Guidance Document 	வழிகாட்டி ஆவணம்
Clause | Key Element | Section | Sub Elements | Sub section | Requirements	பிரிவு | முக்கிய உறுப்பு | பிரிவு | துணைக் கூறுகள் | துணை பிரிவு | தேவைகள்
5 |	5 |
Preventive Measures	தடுப்பு நடவடிக்கைகள்
The Restaurant needs to make necessary provisions for handling situations arising out of the possible COVID-19 infections to prevent the spread of infection.	நோய்த்தொற்று பரவுவதைத் தடுக்க சாத்தியமான COVID-19 நோய்த்தொற்றுகளிலிருந்து எழும் சூழ்நிலைகளைக் கையாளுவதற்கு உணவகம் தேவையான ஏற்பாடுகளைச் செய்ய வேண்டும்.
5.1|	5.1 |
Mitigating Risks	அபாயங்களைத் தணித்தல்
The Restaurant needs to demonstrate its preparedness to begin (or continue) operations post lockdown and also carry out its operations without any disruptions and safety hazards.	பூட்டுதலுக்குப் பிந்தைய நடவடிக்கைகளைத் தொடங்க (அல்லது தொடர) அதன் தயார்நிலையை உணவகம் நிரூபிக்க வேண்டும், மேலும் எந்தவிதமான இடையூறுகளும் பாதுகாப்பு இடையூறுகளும் இல்லாமல் அதன் செயல்பாடுகளைச் செய்ய வேண்டும்.
5.1.1|	5.1.1 |
Takeaways to be encouraged instead of dine-in.	உணவருந்துவதற்குப் பதிலாக பயணங்களை ஊக்குவிக்க வேண்டும்.
5.1.2|	5.1.2 |
Inspection of all machinery/equipment as per the safety protocols during the restart phase shall be done. Considerations include (but not limited to):	மறுதொடக்கக் கட்டத்தில் பாதுகாப்பு நெறிமுறை களின்படி அனைத்து இயந்திரங்கள் / உபகரணங்கள் ஆய்வு செய்யப்படும். இதற்கான கவனிப்பில் பின்வருவன அடங்கும் (ஆனால் இவை மட்டும் அல்ல):
- Servicing or carrying out maintenance of electrical, mechanical or chemical equipment, like those of HVAC systems etc.	- எச்.வி.ஐ.சி அமைப்புகள் போன்ற மின், இயந்திர அல்லது இரசாயன உபகரணங்களை பராமரித்தல் அல்லது பராமரித்தல்.
- Combustible liquids, contained gaseous substances, open wires etc. that make any facility a high-risk environment.	- எரியக்கூடிய திரவங்கள், வாயு பொருட்கள், திறந்த கம்பிகள் போன்றவை எந்த ஒரு வசதியையும் அதிக ஆபத்துள்ள சூழலாக மாற்றுகின்றன.
- While restarting, consider the first week as the trial or test run period and ensure all safety protocols.	- மறுதொடக்கம் செய்யும் போது, ​​முதல் வாரத்தை சோதனை அல்லது சோதனை ரன் காலமாகக் கருதி, அனைத்து பாதுகாப்பு நெறிமுறைகளையும் உறுதிப்படுத்தவும்.
5.1.3|	5.1.3 |
A process shall be in place defining preventive measures to prevent and contain the spread of infection, including (but not limited to):	நோய்த்தொற்று பரவுவதைத் தடுப்பதற்கும் கட்டுப் படுத்துவதற்கும் தடுப்பு நடவடிக்கைகளை வரையறுக் கும் ஒரு செயல்முறை இருக்க வேண்டும். இதில் அடங்குவன (ஆனால் இவை மட்டும் அல்ல):
- Isolation facility & sanitization protocols for suspected cases till the medical help arrives.	- மருத்துவ உதவி வரும் வரை சந்தேகிக்கப்பட்ட, பாதிக்கப்பட்ட நபர்களுக்கான தனிமை வசதி மற்றும் தூய்மைப்படுத்தல் நெறிமுறைகள்.
- Emergency numbers and Contact numbers of the nearest hospital.	- அருகிலுள்ள மருத்துவமனையின் அவசர எண்கள் மற்றும் தொடர்பு எண்கள்.
- Provision for isolation and sanitization of incoming goods, raw material, couriers, etc.	- உள்வரும் பொருட்கள், மூலப்பொருள், கூரியர் போன்றவற்றை தனிமைப்படுத்தி சுத்தப்படுத்துவதற்கான ஏற்பாடு.
- Adequate controls to prevent unmonitored movement from one section to other within the restaurant.	- உணவகத்திற்குள் ஒரு பகுதியிலிருந்து மற்றொன்றுக்கு கண்காணிக்கப்படாத இயக்கத்தைத் தடுக்க போதுமான கட்டுப்பாடுகள்.
- A commissionaire/door-attendant to open gates/doors wherever possible to minimize contact.	- தொடர்பைக் குறைக்க முடிந்த இடங்களில் வாயில்கள் / கதவுகளைத் திறக்க ஒரு கமிஷனர் / கதவு-உதவியாளர்.
- A fully functional adequate CCTV system to ease tracking and tracing of infected personnel movement.	- பாதிக்கப்பட்ட பணியாளர்களின் இயக்கத்தைக் கண்காணிப்பதையும் கண்டுபிடிப்பதையும் எளிதாக்குவதற்கு ஒரு முழுமையான செயல்பாட்டுக்கு போதுமான சி.சி.டி.வி அமைப்பு.
Clause | Key Element | Section | Sub Elements | Sub section | Requirements	பிரிவு | முக்கிய உறுப்பு | பிரிவு | துணைக் கூறுகள் | துணை பிரிவு | தேவைகள்
6 |	6 |
Transport Management (If applicable)	போக்குவரத்து மேலாண்மை (பொருந்தினால்)
The Restaurant needs to establish processes for safe travel and transport of people (employees, contractors and customers, as applicable) and goods & materials.	மக்கள் (ஊழியர்கள், ஒப்பந்தக்காரர்கள் மற்றும் வாடிக்கையாளர்கள், பொருந்தும் வகையில்) மற்றும் பொருட்கள் மற்றும் பொருட்களின் பாதுகாப்பான பயணம் மற்றும் போக்குவரத்துக்கான செயல்முறைகளை உணவகம் நிறுவ வேண்டும்.
6.1|	6.1 |
Staff/Guest & Goods transport	பணியாளர்கள் / விருந்தினர் மற்றும் பொருட்கள் இடம் மாற்றம்
Necessary provisions for social distancing and sanitization must be ensured in all types of transportation used by the Restaurant.	உணவகத்தால் பயன்படுத்தப்படும் அனைத்து வகையான போக்குவரத்திலும் சமூக தொலைவு மற்றும் சுத்திகரிப்புக்கான தேவையான ஏற்பாடுகள் உறுதி செய்யப்பட வேண்டும்.
6.1.1|	6.1.1 |
The Restaurant shall establish a process to ensure safe travel and transportation of guests/staff:	விருந்தினர்கள் / ஊழியர்களின் பாதுகாப்பான பயணம் மற்றும் போக்குவரத்தை உறுதி செய்வதற்கான ஒரு செயல்முறையை உணவகம் நிறுவும்:
- All vehicles shall be disinfected before the start of a trip and at the end of the trip.	- பயணத்தின் தொடக்கத்திற்கு முன்பும், பயணத்தின் முடிவிலும் அனைத்து வாகனங்களும் கிருமி நீக்கம் செய்யப்படும்.
- Guest/Staff transport vehicles shall be equipped to ensure and maintain social distancing norms.	- சமூகத் தொலைவு விதிமுறைகளை உறுதிப்படுத்த வும் பராமரிக்கவும் விருந்தினர் / பணியாளர்கள் போக்குவரத்து வாகனங்கள் பொருத்தப்பட்டிருக்கும்.
- Use of Mask, Shield and Other appropriate equipment wherever applicable shall be ensured during the travel both by passengers as well as by the driver.	- மாஸ்க், கேடயம் மற்றும் பிற பொருத்தமான உபகரணங்களைப் பயன்படுத்துவது எங்கிருந்தாலும் பயணத்தின்போது மற்றும் ஓட்டுநரால் பயணத்தின் போது உறுதி செய்யப்படும்.
- Sanitizers in accordance with prescribed norms or equivalent shall be provided in the vehicles, all the time.	- பரிந்துரைக்கப்பட்ட விதிமுறைகளின்படி அல்லது அதற்கு சமமான தூய்மை நீக்கிகள் எல்லா நேரங்களிலும் வாகனங்களில் வழங்கப்படும்.
6.1.2|	6.1.2 |
The Restaurant shall establish a process to ensure safe transportation of goods and material:	பொருட்கள் மற்றும் பொருள்களின் பாதுகாப்பான போக்குவரத்தை உறுதி செய்வதற்கான ஒரு செயல்முறையை உணவகம் நிறுவும்:
- Incoming material shall be collected as per FSSAI norms and quarantined at an identified location for safe retention and/or safe disposal.	- உள்வரும் பொருள் fssai விதிமுறைகளின்படி சேகரிக்கப்பட்டு, பாதுகாப்பான தக்கவைப்பு மற்றும் / அல்லது பாதுகாப்பான அகற்றலுக்காக அடையாளம் காணப்பட்ட இடத்தில் தனிமைப்படுத்தப்படும்.
- Vehicle drivers/helpers shall be screened for symptoms of COVID-19 and their movement within the workplace shall be restricted.	- COVID-19 இன் அறிகுறிகளுக்காக வாகன ஓட்டுநர்கள் / உதவியாளர்கள் திரையிடப்படுவார்கள், மேலும் பணியிடத்திற்குள் அவர்களின் இயக்கம் கட்டுப்படுத்தப்படும்.
- Delivery / transport vehicles shall be cleaned and disinfected at a predefined frequency. Sanitizers with prescribed norms or equivalent shall be provided in the vehicles, all the time.	- பொருள் சேர்ப்பு / போக்குவரத்து வாகனங்கள் முன் வரையறுக்கப்பட்ட காலஅளவுகளில் சுத்தம் செய்யப் பட்டு கிருமி நீக்கம் செய்யப்படும். பரிந்துரைக்கப்பட்ட விதிமுறைகள் அல்லது அதற்கு சமமான தூய்மைப் படுத்திகள் வாகனங்களில் எல்லாச் சமயங்களிலும் வழங்கப்படும்.
6.1.3|	6.1.3 |
1. Valet parking, if available, shall be operational with operating staff wearing face covers/ masks and gloves as appropriate.	1. பொருந்துமாயின், விருந்தினர்களிடமிருந்து சொந்த வாகனங்களைப்பணியாளர் நிறுத்துவர். செயற்படு ஊழியர்கள் முகத்திரைகள் / முகமூடிகள் மற்றும் கையுறைகளை பொருத்தமாக அணிந்திருப்பர்.
2. A proper disinfection of steering wheel, door handles, etc. of the vehicles should be taken up.	2. வாகனங்களின் ஸ்டீயரிங், கதவு கைப்பிடிகள் போன்றவற்றை முறையாக கிருமி நீக்கம் செய்ய வேண்டும்.
Clause | Key Element | Section | Sub Elements | Sub section | Requirements	பிரிவு | முக்கிய உறுப்பு | பிரிவு | துணைக் கூறுகள் | துணை பிரிவு | தேவைகள்
7 |	7 |
Vendor Management	விற்பனையாளர் மேலாண்மை
The Restaurant needs to make provision for communication with the vendors, suppliers and contractors, as applicable, and obtain assurance from them for a safe workplace and also end-to-end safe operations.	விற்பனையாளர்கள், சப்ளையர்கள் மற்றும் ஒப்பந்தக்காரர்களுடன் தொடர்புகொள்வதற்கு உணவகம் ஏற்பாடு செய்ய வேண்டும், மேலும் அவர்களிடமிருந்து ஒரு பாதுகாப்பான பணியிடத்திற்கான உத்தரவாதத்தையும், இறுதி முதல் பாதுகாப்பான நடவடிக்கைகளையும் பெற வேண்டும்.
7.1|	7.1 |
Vendor communication& supply management	விற்பனையாளர் தொடர்பு மற்றும் விநியோக மேலாண்மை
All vendors must be aware of the Hygiene & Safety guidelines of the Restaurant.	அனைத்து விற்பனையாளர்களும் உணவகத்தின் சுகாதாரம் மற்றும் பாதுகாப்பு வழிகாட்டுதல்களை அறிந்திருக்க வேண்டும்.
7.1.1|	7.1.1 |
1. The Restaurant shall ensure communication to all vendors/suppliers/contractors on the Do's & Don’ts while entering/exiting the Restaurant.	1. உணவகத்திற்குள் நுழையும்போது / வெளியேறும்போது செய்ய வேண்டியவை மற்றும் செய்யக்கூடாத அனைத்து விற்பனையாளர்கள் / சப்ளையர்கள் / ஒப்பந்தக்காரர்களுடன் தொடர்பு கொள்வதை உணவகம் உறுதி செய்யும்.
2. The Restaurant shall establish a process to obtain periodic assurance from its suppliers and contractors on their continued compliance on COVID-19 measures and the Govt. directives.	2. உணவகம் அதன் சப்ளையர்கள் மற்றும் ஒப்பந்தக்காரர்களிடமிருந்து COVID-19 நடவடிக்கைகள் மற்றும் அரசாங்கத்தின் தொடர்ச்சியான இணக்கம் குறித்து அவ்வப்போது உத்தரவாதம் பெறுவதற்கான ஒரு செயல்முறையை நிறுவும். வழிமுறைகள்.
7.1.2|	7.1.2 |
1. Required precautions while handling supplies, inventories and incoming goods/material in the Restaurant shall be ensured.	1. உணவகத்தில் பொருட்கள், சரக்குகள் மற்றும் உள்வரும் பொருட்கள் / பொருள்களைக் கையாளும் போது தேவையான முன்னெச்சரிக்கைகள் உறுதி செய்யப்படும்.
2. Proper queue management and disinfection shall be organized.	2. சரியான வரிசைமுறை மேலாண்மையும் கிருமி நீக்கமும் ஏற்பாடு செய்யப்படும்.
Clause | Key Element | Section | Sub Elements | Sub section | Requirements	பிரிவு | முக்கிய உறுப்பு | பிரிவு | துணைக் கூறுகள் | துணை பிரிவு | தேவைகள்
8 |	8 |
Ventilation	காற்றோட்டம்
Proper ventilation is essential to ensure that the air circulated is clean and therefore, the Restaurant needs to identify the requirements and provide measures to maintain the indoor air quality clean.	புழக்கத்தில் உள்ள காற்று சுத்தமாக இருப்பதை உறுதிப்படுத்த சரியான காற்றோட்டம் அவசியம், எனவே, உணவகம் தேவைகளை அடையாளம் கண்டு உட்புற காற்றின் தரத்தை சுத்தமாக பராமரிக்க நடவடிக்கைகளை வழங்க வேண்டும்.
8.1|	8.1 |
Ensuring clean air	சுத்தமான காற்றை உறுதி செய்தல்
The management shall ensure that the Restaurant areas are well ventilated to maintain clean air.	சுத்தமான காற்றை பராமரிக்க உணவக பகுதிகள் நன்கு காற்றோட்டமாக இருப்பதை நிர்வாகம் உறுதி செய்யும்.
8.1.1|	8.1.1 |
1. The Restaurant shall ensure provisions for essential utilities (HVAC, AHU etc.) with appropriate filters to maintain clean air, where there is a requirement of specific environmental conditions (temperature and humidity).	1. குறிப்பிட்ட சுற்றுச்சூழல் நிலைமைகள் (வெப்பநிலை மற்றும் ஈரப்பதம்) தேவைப்படும் இடத்தில், சுத்தமான காற்றைப் பராமரிக்க பொருத்தமான வடிப்பான்களுடன் அத்தியாவசிய பயன்பாடுகளுக்கான (HVAC, AHU போன்றவை) ஏற்பாடுகளை உணவகம் உறுதி செய்யும்.
2. The Restaurant shall follow the guidelines of CPWD for air- conditioning/ventilation, which inter alia emphasizes that the temperature setting of all air conditioning devices should be in the range of 24-30 C. Relative humidity should be in the range of 40-70%.	2. ஏர் கண்டிஷனிங் / காற்றோட்டத்திற்கான சிபிடபிள்யூடியின் வழிகாட்டுதல்களை உணவகம் பின்பற்ற வேண்டும், இது அனைத்து ஏர் கண்டிஷனிங் சாதனங்களின் வெப்பநிலை அமைப்பும் 24-30 சி வரம்பில் இருக்க வேண்டும் என்பதை வலியுறுத்துகிறது. உறவினர் ஈரப்பதம் 40 வரம்பில் இருக்க வேண்டும் -70%.
8.1.2|	8.1.2 |
1. The Restaurant shall ensure adequate ventilation with operational exhaust fans in the toilets and washrooms.	1. உணவகம் கழிப்பறைகள் மற்றும் கழுவும் அறைகளில் செயல்படும் வெளியேற்ற விசிறிகளுடன் போதுமான காற்றோட்டத்தை உறுதி செய்யும்.
2. A robust maintenance mechanism shall in place to ensure that the utilities and filters are working effectively.	2. பயன்படு கருவிகளும் வடிப்பான்களும் திறம்பட செயல்படுகின்றன என்பதை உறுதிப்படுத்த ஒரு வலுவான பராமரிப்பு பொறிமுறை இருக்கும்.
Clause | Key Element | Section | Sub Elements | Sub section | Requirements	பிரிவு | முக்கிய உறுப்பு | பிரிவு | துணைக் கூறுகள் | துணை பிரிவு | தேவைகள்
9 |	9 |
Waste Management	கழிவு மேலாண்மை
The Restaurant needs to determine the regulatory and necessary requirements for waste management and deploy them to ensure its safe management & disposal.	கழிவு மேலாண்மைக்கு ஒழுங்குமுறை மற்றும் தேவையான தேவைகளை உணவகம் தீர்மானிக்க வேண்டும் மற்றும் அதன் பாதுகாப்பான மேலாண்மை மற்றும் அகற்றலை உறுதிப்படுத்த அவற்றை வரிசைப்படுத்த வேண்டும்.
9.1|	9.1 |
Appropriate waste disposal	பொருத்தமான கழிவுகளை அகற்றுவது
Measures to ensure appropriate PPE waste should be in place in the Restaurant.	பொருத்தமான பிபிஇ கழிவுகளை உறுதி செய்வதற்கான நடவடிக்கைகள் உணவகத்தில் இருக்க வேண்டும்.
9.1.1|	9.1.1 |
The Restaurant shall follow appropriate waste management measures (relevant to COVID related waste, like that of masks, gloves, etc.) and may refer to the CPCB’s guidelines.	உணவகம் பொருத்தமான கழிவு மேலாண்மை நடவடிக்கைகளைப் பின்பற்றும் (COVID தொடர்பான கழிவுகள், முகமூடிகள், கையுறைகள் போன்றவை) மற்றும் CPCB இன் வழிகாட்டுதல்களைக் குறிக்கலாம்.
9.1.2|	9.1.2 |
1. Waste management system of the restaurant shall be defined to safely manage and dispose of waste, especially, the used PPEs (Masks, gloves or other protective equipment as applicable).	1. உணவகத்தின் கழிவு மேலாண்மை அமைப்பு பாதுகாப்பாக நிர்வகிக்க மற்றும் கழிவுகளை அப்புறப்படுத்த வரையறுக்கப்படும், குறிப்பாக, பயன்படுத்தப்பட்ட பிபிஇக்கள் (முகமூடிகள், கையுறைகள் அல்லது பிற பாதுகாப்பு உபகரணங்கள் பொருந்தும்).
2. The Restaurant shall ensure provision for adequate number of dustbins with proper fitting covers especially for used PPEs.	2. குறிப்பாக பயன்படுத்தப்பட்ட பிபிஇக்களுக்கு சரியான பொருத்தப்பட்ட அட்டைகளுடன் போதுமான எண்ணிக்கையிலான டஸ்ட்பின்களை வழங்குவதை உணவகம் உறுதி செய்யும்.
3. The Restaurant shall ensure colour coded bins/bags /containers and/or necessary labelling to identify waste considering COVID-19 implications.	3. COVID-19 தாக்கங்களை கருத்தில் கொண்டு கழிவுகளை அடையாளம் காண வண்ண குறியீட்டு பின்கள் / பைகள் / கொள்கலன்கள் மற்றும் / அல்லது தேவையான லேபிளிங்கை உணவகம் உறுதி செய்யும்.
4. Wherever applicable, the Restaurant shall institute a process to disinfect inner and outer surfaces of the garbage/dust bins, trolleys and vehicles.	4. பொருந்தக்கூடிய இடங்களில், குப்பை / தூசித் தொட்டிகள், தள்ளுவண்டிகள் மற்றும் வாகனங்களின் உள் மற்றும் வெளிப்புற மேற்பரப்புகளை கிருமி நீக்கம் செய்வதற்கான ஒரு செயல்முறையை உணவகம் நிறுவும்.
Clause | Key Element | Section | Sub Elements | Sub section | Requirements	பிரிவு | முக்கிய உறுப்பு | பிரிவு | துணைக் கூறுகள் | துணை பிரிவு | தேவைகள்
10 |	10 |
Control of Discriminatory Practices	பாரபட்சமான நடைமுறைகளின் கட்டுப்பாடு
The Restaurant needs to identify discriminatory practices, if any, and ensure provisions to prevent them.	உணவகம் பாரபட்சமான நடைமுறைகளை அடையாளம் காண வேண்டும், ஏதேனும் இருந்தால், அவற்றைத் தடுப்பதற்கான ஏற்பாடுகளை உறுதி செய்ய வேண்டும்.
10.1|	10.1 |
Eliminating prejudices & bias	தப்பெண்ணங்களையும் சார்புகளையும் நீக்குதல்
Discriminatory practices with relation to COVID may be unsafe for all, hence needs mitigation.	COVID தொடர்பான பாரபட்சமான நடைமுறைகள் அனைவருக்கும் பாதுகாப்பற்றதாக இருக்கலாம், எனவே தணிப்பு தேவை.
10.1.1|	10.1.1 |
1. The Restaurant shall identify possible discriminatory practices (like discrimination against persons with a history of COVID-19 or persons from affected areas/regions or not providing for Masks, gloves or other protective equipment to employees especially contract workers/labour etc.). A “bottom-up approach” may be adopted to identify such practices.	1. உணவகம் சாத்தியமான பாகுபாடான நடைமுறைகளை அடையாளம் காணும் (COVID-19 இன் வரலாறு கொண்ட நபர்கள் அல்லது பாதிக்கப்பட்ட பகுதிகள் / பிராந்தியங்களைச் சேர்ந்த நபர்கள் அல்லது முகமூடிகள், கையுறைகள் அல்லது பிற பாதுகாப்பு உபகரணங்களை ஊழியர்களுக்கு குறிப்பாக ஒப்பந்தத் தொழிலாளர்கள் / தொழிலாளர்கள் போன்றவர்களுக்கு வழங்காதது போன்றவை). அத்தகைய நடைமுறைகளை அடையாளம் காண "கீழ்நிலை அணுகுமுறை" பின்பற்றப்படலாம்.
2. The Restaurant shall ensure that the steps taken do not have an unjustifiable negative impact on some groups compared to others, for example, those with caring responsibilities or those with religious commitments.	2. எடுக்கப்பட்ட நடவடிக்கைகள் மற்றவர்களுடன் ஒப்பிடும்போது சில குழுக்களுக்கு நியாயப்படுத்த முடியாத எதிர்மறையான தாக்கத்தை ஏற்படுத்தாது என்பதை உணவகம் உறுதி செய்யும், எடுத்துக்காட்டாக, அக்கறையுள்ள பொறுப்புகள் உள்ளவர்கள் அல்லது மதக் கடமைகளைக் கொண்டவர்கள்.
3. The Restaurant shall institute measures to prevent such discriminatory practices and should communicate its position with respect to the discriminatory practices to all the stakeholders.	3. இத்தகைய பாரபட்சமான நடைமுறைகளைத் தடுப்பதற்கான நடவடிக்கைகளை உணவகம் நிறுவ வேண்டும், மேலும் அனைத்து தரப்பினருக்கும் பாரபட்சமான நடைமுறைகள் தொடர்பாக அதன் நிலையை தெரிவிக்க வேண்டும்.
